station,hour,trips_out_lag_1h,trips_out_lag_24h,trips_out_rolling_mean_3h,trips_in_lag_1h,trips_in_lag_24h,trips_in_rolling_mean_3h
10 Ave & W 14 St,10,0.0,0.0,0.0,0.0,0.0,0.0
10 Ave & W 14 St,11,0.0,0.0,0.0,0.0,0.0,0.0
10 Ave & W 14 St,12,0.0,0.0,0.0,0.0,0.0,0.0
10 Ave & W 14 St,13,0.0,0.0,0.0,0.0,0.0,0.0
10 Ave & W 14 St,14,0.0,0.0,0.0,0.0,0.0,0.0
10 Ave & W 14 St,15,0.0,0.0,0.0,0.0,0.0,0.0
10 Ave & W 14 St,16,0.0,0.0,0.0,0.0,0.0,0.0
10 Ave & W 14 St,17,0.0,0.0,0.0,0.0,0.0,0.0
10 Ave & W 14 St,18,0.0,0.0,0.0,0.0,0.0,0.0
10 Ave & W 14 St,19,0.0,0.0,0.0,0.0,0.0,0.0
10 Ave & W 14 St,20,0.0,0.0,0.0,0.0,0.0,0.0
10 Ave & W 14 St,21,0.0,0.0,0.0,0.0,0.0,0.0
10 Ave & W 14 St,22,0.0,0.0,0.0,0.0,0.0,0.0
10 Ave & W 14 St,23,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,0,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,1,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,2,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,3,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,4,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,5,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,6,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,7,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,8,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,9,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,10,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,11,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,12,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,13,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,14,0.0,0.0,0.0,0.0,0.0,0.0
10 St & 7 Ave,15,0.0,0.0,0.0,0.0,0.0,0.0
